degree,partition,length,rung13,rung14,lmr,witness_ids,conditional_i_pad_floor,certified_i_pad_floor,certified_i_det_upper,exclusion_status,B_predecessor,B_exact_inherited_increment,B_birth_upper,B_bound_kind
26,"(66, 18, 5, 3, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 5, 3, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 18, 4, 4, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 4, 4, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 9, 2, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 17, 9, 2, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 17, 8, 3, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 17, 8, 3, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 17, 8, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 8, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 7, 4, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 17, 7, 4, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 17, 7, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 7, 3, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 7, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 7, 2, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 6, 5, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 17, 6, 5, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 17, 6, 4, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 6, 4, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 6, 3, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 6, 3, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 5, 5, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 5, 5, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 17, 5, 4, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 5, 4, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(65, 25, 2, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_8;w_12_40_8,"max(0, p13, p14)",0,,OPEN,"(61, 25, 2, 2, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 24, 3, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_7_1;w_12_40_7_1,"max(0, p13, p14)",0,,OPEN,"(61, 24, 3, 2, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 24, 2, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 24, 2, 2, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 23, 4, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_6_2;w_12_40_6_2,"max(0, p13, p14)",0,,OPEN,"(61, 23, 4, 2, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 23, 3, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 23, 3, 2, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
