delta,lam,ell,a,m_det,class,margin
8,13|5|5|3|3|3,6,1,7055,silent,7054
8,13|5|4|4|4|2,6,8,7913,silent,7905
8,13|5|4|4|3|3,6,2,8014,silent,8012
8,13|4|4|4|4|3,6,3,1651,silent,1648
8,12|12|5|1|1|1,6,3,517,silent,514
8,12|12|4|2|1|1,6,5,1282,silent,1277
8,12|12|3|3|1|1,6,6,897,silent,891
8,12|12|3|2|2|1,6,5,1047,silent,1042
8,12|12|2|2|2|2,6,5,274,silent,269
8,12|11|6|1|1|1,6,6,1370,silent,1364
8,12|11|5|2|1|1,6,22,4833,silent,4811
8,12|11|4|3|1|1,6,19,5629,silent,5610
8,12|11|4|2|2|1,6,24,5606,silent,5582
8,12|11|3|3|2|1,6,10,4378,silent,4368
8,12|11|3|2|2|2,6,7,2169,silent,2162
8,12|10|7|1|1|1,6,9,1931,silent,1922
8,12|10|6|2|1|1,6,30,8745,silent,8715
8,12|10|5|3|1|1,6,46,15369,silent,15323
8,12|10|5|2|2|1,6,45,14084,silent,14039
8,12|10|4|4|1|1,6,18,8082,silent,8064
8,12|10|4|3|2|1,6,44,21257,silent,21213
8,12|10|4|2|2|2,6,26,8497,silent,8471
8,12|10|3|3|3|1,6,5,5949,silent,5944
8,12|10|3|3|2|2,6,4,6757,silent,6753
8,12|9|8|1|1|1,6,6,1454,silent,1448
8,12|9|7|2|1|1,6,36,9595,silent,9559
8,12|9|6|3|1|1,6,56,22987,silent,22931
8,12|9|6|2|2|1,6,55,20533,silent,20478
8,12|9|5|4|1|1,6,55,23382,silent,23327
8,12|9|5|3|2|1,6,79,46930,silent,46851
8,12|9|5|2|2|2,6,27,16600,silent,16573
8,12|9|4|4|2|1,6,51,27965,silent,27914
8,12|9|4|3|3|1,6,22,25350,silent,25328
8,12|9|4|3|2|2,6,29,27929,silent,27900
8,12|9|3|3|3|2,6,2,9971,silent,9969
8,12|8|8|2|1|1,6,11,4037,silent,4026
8,12|8|7|3|1|1,6,46,18229,silent,18183
8,12|8|7|2|2|1,6,37,15983,silent,15946
8,12|8|6|4|1|1,6,52,29640,silent,29588
8,12|8|6|3|2|1,6,85,55794,silent,55709
8,12|8|6|2|2|2,6,37,19529,silent,19492
8,12|8|5|5|1|1,6,33,16228,silent,16195
8,12|8|5|4|2|1,6,89,64677,silent,64588
8,12|8|5|3|3|1,6,39,47487,silent,47448
8,12|8|5|3|2|2,6,39,50277,silent,50238
8,12|8|4|4|3|1,6,34,35822,silent,35788
8,12|8|4|4|2|2,6,40,32568,silent,32528
8,12|8|4|3|3|2,6,10,36207,silent,36197
8,12|8|3|3|3|3,6,0,-1,a0,
8,12|7|7|4|1|1,6,32,14479,silent,14447
8,12|7|7|3|2|1,6,35,25736,silent,25701
8,12|7|7|2|2|2,6,6,8396,silent,8390
8,12|7|6|5|1|1,6,28,18894,silent,18866
8,12|7|6|4|2|1,6,75,60724,silent,60649
8,12|7|6|3|3|1,6,30,41701,silent,41671
8,12|7|6|3|2|2,6,34,43844,silent,43810
8,12|7|5|5|2|1,6,34,36166,silent,36132
8,12|7|5|4|3|1,6,56,67821,silent,67765
8,12|7|5|4|2|2,6,37,57905,silent,57868
8,12|7|5|3|3|2,6,18,54050,silent,54032
8,12|7|4|4|4|1,6,21,17483,silent,17462
8,12|7|4|4|3|2,6,23,44242,silent,44219
8,12|7|4|3|3|3,6,1,18325,silent,18324
8,12|6|6|6|1|1,6,2,3443,silent,3441
8,12|6|6|5|2|1,6,23,24047,silent,24024
8,12|6|6|4|3|1,6,25,36527,silent,36502
8,12|6|6|4|2|2,6,31,31869,silent,31838
8,12|6|6|3|3|2,6,5,27001,silent,26996
8,12|6|5|5|3|1,6,16,29676,silent,29660
8,12|6|5|5|2|2,6,7,23245,silent,23238
8,12|6|5|4|4|1,6,20,25243,silent,25223
8,12|6|5|4|3|2,6,23,59435,silent,59412
8,12|6|5|3|3|3,6,2,19931,silent,19929
8,12|6|4|4|4|2,6,19,18844,silent,18825
8,12|6|4|4|3|3,6,2,18488,silent,18486
8,12|5|5|5|4|1,6,3,7632,silent,7629
8,12|5|5|5|3|2,6,4,14443,silent,14439
8,12|5|5|4|4|2,6,3,14143,silent,14140
8,12|5|5|4|3|3,6,4,14242,silent,14238
