delta,lam,ell,a,m_det,det_units_lb
10,21|9|6|2|2,5,258,20550,-20292
10,16|14|4|3|3,5,91,20461,-20370
10,21|6|6|4|3,5,90,20465,-20375
10,19|12|6|2|1,5,385,20904,-20519
10,14|11|11|3|1,5,123,20688,-20565
10,20|10|7|2|1,5,341,20986,-20645
10,21|8|7|3|1,5,237,20887,-20650
10,19|6|6|6|3,5,66,20743,-20677
10,16|11|10|2|1,5,212,20964,-20752
10,18|10|9|2|1,5,251,21029,-20778
10,18|6|6|5|5,5,16,20977,-20961
10,18|13|5|2|2,5,291,21285,-20994
10,17|14|4|3|2,5,228,22352,-22124
10,16|10|10|2|2,5,166,22298,-22132
10,19|12|5|2|2,5,320,22479,-22159
10,15|12|10|2|1,5,216,22375,-22159
10,17|6|6|6|5,5,34,22201,-22167
10,21|10|5|3|1,5,320,22508,-22188
10,15|14|5|5|1,5,139,22501,-22362
10,21|10|4|3|2,5,240,22644,-22404
10,10|9|7|7|7,5,10,22618,-22608
10,17|14|5|3|1,5,310,23183,-22873
10,21|8|4|4|3,5,138,23012,-22874
10,11|11|9|8|1,5,41,22944,-22903
10,21|7|5|5|2,5,98,23197,-23099
10,19|10|8|2|1,5,335,24079,-23744
10,22|7|5|4|2,5,166,23930,-23764
10,21|9|4|4|2,5,225,24038,-23813
10,15|13|9|2|1,5,250,24313,-24063
10,11|8|7|7|7,5,8,24516,-24508
10,12|11|11|5|1,5,75,24588,-24513
10,11|11|10|7|1,5,50,24676,-24626
10,12|11|11|3|3,5,55,24792,-24737
10,10|8|8|8|6,5,22,24844,-24822
10,11|11|11|5|2,5,40,24894,-24854
10,22|8|5|3|2,5,212,25182,-24970
10,20|7|7|3|3,5,104,25136,-25032
10,14|14|8|3|1,5,177,25213,-25036
10,16|14|6|2|2,5,287,25426,-25139
10,21|7|6|3|3,5,105,25419,-25314
10,11|11|11|4|3,5,36,25521,-25485
10,20|10|4|3|3,5,120,25685,-25565
10,15|14|7|2|2,5,222,26391,-26169
10,20|9|5|5|1,5,191,26741,-26550
10,19|11|7|2|1,5,417,26975,-26558
10,16|14|4|4|2,5,226,26814,-26588
10,17|13|7|2|1,5,392,27181,-26789
10,21|9|5|4|1,5,304,27404,-27100
10,20|9|7|2|2,5,267,27399,-27132
10,18|6|6|6|4,5,72,27406,-27334
10,20|11|4|3|2,5,289,27654,-27365
10,20|11|5|3|1,5,395,28009,-27614
10,18|13|4|3|2,5,291,28395,-28104
10,15|14|4|4|3,5,124,28229,-28105
10,20|6|6|5|3,5,77,28261,-28184
10,18|9|9|3|1,5,226,28501,-28275
10,19|9|8|2|2,5,253,28672,-28419
10,21|9|6|3|1,5,361,28864,-28503
10,13|11|11|4|1,5,112,28808,-28696
10,18|7|5|5|5,5,28,28859,-28831
10,19|9|4|4|4,5,134,29009,-28875
10,18|13|5|3|1,5,398,29331,-28933
10,16|13|8|2|1,5,356,29451,-29095
10,18|12|7|2|1,5,442,29684,-29242
10,17|11|9|2|1,5,332,29708,-29376
10,10|10|10|5|5,5,8,29456,-29448
10,17|13|4|3|3,5,151,29646,-29495
10,20|10|6|2|2,5,376,29956,-29580
10,19|12|4|3|2,5,311,30018,-29707
10,19|12|5|3|1,5,420,30729,-30309
10,15|13|4|4|4,5,97,30631,-30534
10,21|8|5|3|3,5,125,30802,-30677
10,19|11|4|3|3,5,158,31319,-31161
10,16|12|9|2|1,5,339,31701,-31362
10,14|13|9|2|2,5,188,31606,-31418
10,18|11|8|2|1,5,417,31842,-31425
10,21|8|6|4|1,5,326,31986,-31660
10,19|8|6|6|1,5,195,32015,-31820
10,17|7|7|7|2,5,59,32039,-31980
10,16|14|5|4|1,5,308,32370,-32062
10,14|14|6|5|1,5,167,32287,-32120
10,14|12|10|2|2,5,208,32685,-32477
10,16|10|10|3|1,5,214,32772,-32558
10,18|12|4|3|3,5,152,32882,-32730
10,20|10|4|4|2,5,314,33505,-33191
10,20|7|5|4|4,5,107,33530,-33423
10,14|14|5|5|2,5,100,33554,-33454
10,19|6|6|5|4,5,70,33659,-33589
10,13|9|9|8|1,5,63,34063,-34000
10,17|12|8|2|1,5,431,34446,-34015
10,19|8|8|4|1,5,259,34970,-34711
10,17|8|7|7|1,5,117,34890,-34773
10,15|11|10|2|2,5,204,34987,-34783
10,13|11|11|3|2,5,112,35289,-35177
10,17|13|6|2|2,5,375,35631,-35256
10,16|14|6|3|1,5,379,36098,-35719
10,19|11|6|2|2,5,417,36769,-36352
10,20|9|4|4|3,5,197,36622,-36425
10,15|7|6|6|6,5,38,37483,-37445
10,17|13|4|4|2,5,293,37901,-37608
10,19|10|5|5|1,5,260,38080,-37820
10,20|10|5|4|1,5,415,38909,-38494
10,15|14|7|3|1,5,335,39013,-38678
10,21|7|5|4|3,5,161,38855,-38694
10,16|13|5|5|1,5,248,39496,-39248
10,18|10|4|4|4,5,185,39615,-39430
10,18|12|6|2|2,5,461,39910,-39449
10,14|14|7|4|1,5,242,39726,-39484
10,13|7|7|7|6,5,18,39556,-39538
10,20|9|7|3|1,5,423,40101,-39678
10,17|10|9|2|2,5,282,40058,-39776
10,19|11|4|4|2,5,336,40190,-39854
10,12|11|8|8|1,5,88,39949,-39861
10,11|11|6|6|6,5,17,40171,-40154
10,15|14|5|3|3,5,150,40321,-40171
10,21|9|5|3|2,5,336,40877,-40541
10,20|8|6|5|1,5,286,40939,-40653
10,14|14|6|3|3,5,111,40922,-40811
10,19|10|7|2|2,5,402,41762,-41360
10,20|10|6|3|1,5,496,41931,-41435
10,20|7|7|4|2,5,189,41688,-41499
10,16|8|8|7|1,5,131,41773,-41642
10,20|8|7|4|1,5,349,42043,-41694
10,21|7|6|4|2,5,265,42061,-41796
10,19|9|8|3|1,5,384,42291,-41907
10,19|7|6|6|2,5,163,42284,-42121
10,12|12|10|3|3,5,68,42346,-42278
10,18|12|4|4|2,5,368,42833,-42465
10,12|12|10|5|1,5,132,42675,-42543
10,14|9|8|8|1,5,107,42800,-42693
10,10|10|10|7|3,5,36,42847,-42811
10,20|7|5|5|3,5,109,42930,-42821
10,12|10|10|7|1,5,94,42952,-42858
10,16|12|4|4|4,5,179,43074,-42895
10,12|11|11|4|2,5,89,43835,-43746
10,21|8|6|3|2,5,338,44159,-43821
10,17|11|4|4|4,5,168,44879,-44711
10,15|13|8|2|2,5,309,45056,-44747
10,19|8|8|3|2,5,262,45116,-44854
10,16|13|7|2|2,5,382,45865,-45483
10,17|13|5|4|1,5,444,46157,-45713
10,18|11|5|5|1,5,308,46282,-45974
10,16|14|5|3|2,5,344,47127,-46783
10,13|13|9|4|1,5,210,47142,-46932
10,17|12|5|5|1,5,303,47520,-47217
10,18|10|8|2|2,5,417,47713,-47296
10,19|11|5|4|1,5,489,47906,-47417
10,21|8|5|4|2,5,325,47753,-47428
10,14|13|9|3|1,5,310,48040,-47730
10,14|13|6|6|1,5,204,48036,-47832
10,20|8|5|5|2,5,191,48048,-47857
10,15|14|6|4|1,5,364,48446,-48082
10,14|8|8|8|2,5,103,48501,-48398
10,14|12|10|3|1,5,287,48846,-48559
10,19|7|5|5|4,5,83,48702,-48619
10,12|10|9|8|1,5,94,48852,-48758
10,16|13|4|4|3,5,223,49775,-49552
10,19|10|4|4|3,5,259,50429,-50170
10,20|9|5|3|3,5,212,50521,-50309
10,14|14|7|3|2,5,243,50925,-50682
10,18|12|5|4|1,5,507,51246,-50739
