delta,lam,ell,a,m_det,class,margin
12,27|4|3|3|3|3|2|1|1|1,10,0,-1,a0,
12,27|4|3|3|3|2|2|2|1|1,10,0,-1,a0,
12,27|4|3|3|2|2|2|2|2|1,10,0,-1,a0,
12,27|4|3|2|2|2|2|2|2|2,10,2,760,silent,758
12,27|3|3|3|3|3|3|1|1|1,10,0,-1,a0,
12,27|3|3|3|3|3|2|2|1|1,10,0,-1,a0,
12,27|3|3|3|3|2|2|2|2|1,10,0,-1,a0,
12,27|3|3|3|2|2|2|2|2|2,10,0,-1,a0,
12,26|14|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|13|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|12|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|12|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,26|11|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|11|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,26|11|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,26|10|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|10|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,26|10|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,26|10|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,26|10|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,26|9|6|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|9|5|2|1|1|1|1|1|1,10,0,-1,a0,
12,26|9|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,26|9|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,26|9|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,26|9|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,26|9|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,26|8|7|1|1|1|1|1|1|1,10,0,-1,a0,
12,26|8|6|2|1|1|1|1|1|1,10,0,-1,a0,
12,26|8|5|3|1|1|1|1|1|1,10,0,-1,a0,
12,26|8|5|2|2|1|1|1|1|1,10,0,-1,a0,
12,26|8|4|4|1|1|1|1|1|1,10,0,-1,a0,
12,26|8|4|3|2|1|1|1|1|1,10,0,-1,a0,
12,26|8|4|2|2|2|1|1|1|1,10,0,-1,a0,
12,26|8|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,26|8|3|3|2|2|1|1|1|1,10,0,-1,a0,
12,26|8|3|2|2|2|2|1|1|1,10,1,48906,silent,48905
12,26|8|2|2|2|2|2|2|1|1,10,1,7325,silent,7324
12,26|7|7|2|1|1|1|1|1|1,10,0,-1,a0,
12,26|7|6|3|1|1|1|1|1|1,10,0,-1,a0,
12,26|7|6|2|2|1|1|1|1|1,10,0,-1,a0,
12,26|7|5|4|1|1|1|1|1|1,10,0,-1,a0,
12,26|7|5|3|2|1|1|1|1|1,10,0,-1,a0,
12,26|7|5|2|2|2|1|1|1|1,10,0,-1,a0,
12,26|7|4|4|2|1|1|1|1|1,10,0,-1,a0,
12,26|7|4|3|3|1|1|1|1|1,10,0,-1,a0,
12,26|7|4|3|2|2|1|1|1|1,10,0,-1,a0,
12,26|7|4|2|2|2|2|1|1|1,10,1,93868,silent,93867
12,26|7|3|3|3|2|1|1|1|1,10,1,101466,silent,101465
12,26|7|3|3|2|2|2|1|1|1,10,2,89330,silent,89328
12,26|7|3|2|2|2|2|2|1|1,10,6,30249,silent,30243
12,26|7|2|2|2|2|2|2|2|1,10,6,3565,silent,3559
12,26|6|6|4|1|1|1|1|1|1,10,0,-1,a0,
12,26|6|6|3|2|1|1|1|1|1,10,0,-1,a0,
12,26|6|6|2|2|2|1|1|1|1,10,0,-1,a0,
12,26|6|5|5|1|1|1|1|1|1,10,0,-1,a0,
12,26|6|5|4|2|1|1|1|1|1,10,0,-1,a0,
12,26|6|5|3|3|1|1|1|1|1,10,0,-1,a0,
12,26|6|5|3|2|2|1|1|1|1,10,1,246649,silent,246648
12,26|6|5|2|2|2|2|1|1|1,10,2,84117,silent,84115
12,26|6|4|4|3|1|1|1|1|1,10,0,-1,a0,
12,26|6|4|4|2|2|1|1|1|1,10,0,-1,a0,
12,26|6|4|3|3|2|1|1|1|1,10,0,-1,a0,
12,26|6|4|3|2|2|2|1|1|1,10,2,177781,silent,177779
12,26|6|4|2|2|2|2|2|1|1,10,5,46741,silent,46736
12,26|6|3|3|3|3|1|1|1|1,10,0,-1,a0,
12,26|6|3|3|3|2|2|1|1|1,10,1,81562,silent,81561
12,26|6|3|3|2|2|2|2|1|1,10,4,47929,silent,47925
12,26|6|3|2|2|2|2|2|2|1,10,8,11842,silent,11834
12,26|6|2|2|2|2|2|2|2|2,10,7,1070,silent,1063
12,26|5|5|5|2|1|1|1|1|1,10,0,-1,a0,
12,26|5|5|4|3|1|1|1|1|1,10,0,-1,a0,
12,26|5|5|4|2|2|1|1|1|1,10,0,-1,a0,
12,26|5|5|3|3|2|1|1|1|1,10,0,-1,a0,
12,26|5|5|3|2|2|2|1|1|1,10,2,99110,silent,99108
12,26|5|5|2|2|2|2|2|1|1,10,5,24737,silent,24732
12,26|5|4|4|4|1|1|1|1|1,10,0,-1,a0,
12,26|5|4|4|3|2|1|1|1|1,10,0,-1,a0,
12,26|5|4|4|2|2|2|1|1|1,10,0,-1,a0,
12,26|5|4|3|3|3|1|1|1|1,10,0,-1,a0,
12,26|5|4|3|3|2|2|1|1|1,10,0,-1,a0,
12,26|5|4|3|2|2|2|2|1|1,10,4,68319,silent,68315
12,26|5|4|2|2|2|2|2|2|1,10,8,13438,silent,13430
12,26|5|3|3|3|3|2|1|1|1,10,0,-1,a0,
12,26|5|3|3|3|2|2|2|1|1,10,0,-1,a0,
12,26|5|3|3|2|2|2|2|2|1,10,2,14726,silent,14724
12,26|5|3|2|2|2|2|2|2|2,10,3,2380,silent,2377
12,26|4|4|4|4|2|1|1|1|1,10,0,-1,a0,
12,26|4|4|4|3|3|1|1|1|1,10,0,-1,a0,
12,26|4|4|4|3|2|2|1|1|1,10,0,-1,a0,
12,26|4|4|4|2|2|2|2|1|1,10,0,-1,a0,
12,26|4|4|3|3|3|2|1|1|1,10,0,-1,a0,
12,26|4|4|3|3|2|2|2|1|1,10,0,-1,a0,
12,26|4|4|3|2|2|2|2|2|1,10,2,11578,silent,11576
12,26|4|4|2|2|2|2|2|2|2,10,5,1695,silent,1690
12,26|4|3|3|3|3|3|1|1|1,10,0,-1,a0,
12,26|4|3|3|3|3|2|2|1|1,10,0,-1,a0,
12,26|4|3|3|3|2|2|2|2|1,10,0,-1,a0,
