delta,lam,ell,a,m_det,class,margin
10,20|6|6|3|2|1|1|1,8,12,96098,silent,96086
10,20|6|6|2|2|2|1|1,8,8,44829,silent,44821
10,20|6|5|5|1|1|1|1,8,5,31742,silent,31737
10,20|6|5|4|2|1|1|1,8,18,154076,silent,154058
10,20|6|5|3|3|1|1|1,8,13,120709,silent,120696
10,20|6|5|3|2|2|1|1,8,32,172019,silent,171987
10,20|6|5|2|2|2|2|1,8,23,50628,silent,50605
10,20|6|4|4|3|1|1|1,8,5,102370,silent,102365
10,20|6|4|4|2|2|1|1,8,14,119598,silent,119584
10,20|6|4|3|3|2|1|1,8,12,148469,silent,148457
10,20|6|4|3|2|2|2|1,8,25,104833,silent,104808
10,20|6|4|2|2|2|2|2,8,19,19867,silent,19848
10,20|6|3|3|3|3|1|1,8,0,-1,a0,
10,20|6|3|3|3|2|2|1,8,1,46623,silent,46622
10,20|6|3|3|2|2|2|2,8,2,18491,silent,18489
10,20|5|5|5|2|1|1|1,8,8,32715,silent,32707
10,20|5|5|4|3|1|1|1,8,6,71950,silent,71944
10,20|5|5|4|2|2|1|1,8,16,83581,silent,83565
10,20|5|5|3|3|2|1|1,8,5,84388,silent,84383
10,20|5|5|3|2|2|2|1,8,11,58153,silent,58142
10,20|5|5|2|2|2|2|2,8,2,9649,silent,9647
10,20|5|4|4|4|1|1|1,8,0,-1,a0,
10,20|5|4|4|3|2|1|1,8,6,92833,silent,92827
10,20|5|4|4|2|2|2|1,8,13,52353,silent,52340
10,20|5|4|3|3|3|1|1,8,0,-1,a0,
10,20|5|4|3|3|2|2|1,8,4,71931,silent,71927
10,20|5|4|3|2|2|2|2,8,7,27109,silent,27102
10,20|5|3|3|3|3|2|1,8,0,-1,a0,
10,20|5|3|3|3|2|2|2,8,0,-1,a0,
10,20|4|4|4|4|2|1|1,8,0,-1,a0,
10,20|4|4|4|3|3|1|1,8,0,-1,a0,
10,20|4|4|4|3|2|2|1,8,2,24813,silent,24811
10,20|4|4|4|2|2|2|2,8,6,7945,silent,7939
10,20|4|4|3|3|3|2|1,8,0,-1,a0,
10,20|4|4|3|3|2|2|2,8,0,-1,a0,
10,20|4|3|3|3|3|3|1,8,0,-1,a0,
10,20|4|3|3|3|3|2|2,8,0,-1,a0,
10,20|3|3|3|3|3|3|2,8,0,-1,a0,
10,19|15|1|1|1|1|1|1,8,0,-1,a0,
10,19|14|2|1|1|1|1|1,8,0,-1,a0,
10,19|13|3|1|1|1|1|1,8,0,-1,a0,
10,19|13|2|2|1|1|1|1,8,0,-1,a0,
10,19|12|4|1|1|1|1|1,8,0,-1,a0,
10,19|12|3|2|1|1|1|1,8,0,-1,a0,
10,19|12|2|2|2|1|1|1,8,0,-1,a0,
10,19|11|5|1|1|1|1|1,8,0,-1,a0,
10,19|11|4|2|1|1|1|1,8,1,36234,silent,36233
10,19|11|3|3|1|1|1|1,8,3,22765,silent,22762
10,19|11|3|2|2|1|1|1,8,5,30923,silent,30918
10,19|11|2|2|2|2|1|1,8,6,8123,silent,8117
10,19|10|6|1|1|1|1|1,8,1,19094,silent,19093
10,19|10|5|2|1|1|1|1,8,5,68841,silent,68836
10,19|10|4|3|1|1|1|1,8,7,81578,silent,81571
10,19|10|4|2|2|1|1|1,8,13,88011,silent,87998
10,19|10|3|3|2|1|1|1,8,15,70532,silent,70517
10,19|10|3|2|2|2|1|1,8,22,46592,silent,46570
10,19|10|2|2|2|2|2|1,8,14,8290,silent,8276
10,19|9|7|1|1|1|1|1,8,0,-1,a0,
10,19|9|6|2|1|1|1|1,8,6,86372,silent,86366
10,19|9|5|3|1|1|1|1,8,16,151280,silent,151264
10,19|9|5|2|2|1|1|1,8,29,152732,silent,152703
10,19|9|4|4|1|1|1|1,8,4,83346,silent,83342
10,19|9|4|3|2|1|1|1,8,35,235354,silent,235319
10,19|9|4|2|2|2|1|1,8,44,122200,silent,122156
10,19|9|3|3|3|1|1|1,8,12,68237,silent,68225
10,19|9|3|3|2|2|1|1,8,27,107031,silent,107004
10,19|9|3|2|2|2|2|1,8,32,42958,silent,42926
10,19|9|2|2|2|2|2|2,8,11,4743,silent,4732
10,19|8|8|1|1|1|1|1,8,1,7497,silent,7496
