delta,lam,ell,a,m_det,class,margin
10,21|12|3|2|1|1,6,32,4759,silent,4727
10,21|12|2|2|2|1,6,28,1876,silent,1848
10,21|11|5|1|1|1,6,26,5397,silent,5371
10,21|11|4|2|1|1,6,80,13107,silent,13027
10,21|11|3|3|1|1,6,37,8339,silent,8302
10,21|11|3|2|2|1,6,79,9850,silent,9771
10,21|11|2|2|2|2,6,30,2065,silent,2035
10,21|10|6|1|1|1,6,29,7158,silent,7129
10,21|10|5|2|1|1,6,129,24080,silent,23951
10,21|10|4|3|1|1,6,116,27281,silent,27165
10,21|10|4|2|2|1,6,167,26658,silent,26491
10,21|10|3|3|2|1,6,71,20363,silent,20292
10,21|10|3|2|2|2,6,67,9867,silent,9800
10,21|9|7|1|1|1,6,32,6731,silent,6699
10,21|9|6|2|1|1,6,139,29242,silent,29103
10,21|9|5|3|1|1,6,193,49393,silent,49200
10,21|9|5|2|2|1,6,216,44106,silent,43890
10,21|9|4|4|1|1,6,104,25848,silent,25744
10,21|9|4|3|2|1,6,221,64983,silent,64762
10,21|9|4|2|2|2,6,123,24716,silent,24593
10,21|9|3|3|3|1,6,20,17638,silent,17618
10,21|9|3|3|2|2,6,44,19751,silent,19707
10,21|8|8|1|1|1,6,9,2605,silent,2596
10,21|8|7|2|1|1,6,96,20871,silent,20775
10,21|8|6|3|1|1,6,174,51594,silent,51420
10,21|8|6|2|2|1,6,201,45376,silent,45175
10,21|8|5|4|1|1,6,178,52523,silent,52345
10,21|8|5|3|2|1,6,297,102530,silent,102233
10,21|8|5|2|2|2,6,135,35389,silent,35254
10,21|8|4|4|2|1,6,195,60664,silent,60469
10,21|8|4|3|3|1,6,84,53796,silent,53712
10,21|8|4|3|2|2,6,137,58117,silent,57980
10,21|8|3|3|3|2,6,7,20063,silent,20056
10,21|7|7|3|1|1,6,84,23042,silent,22958
10,21|7|7|2|2|1,6,73,19411,silent,19338
10,21|7|6|4|1|1,6,137,45422,silent,45285
10,21|7|6|3|2|1,6,220,82660,silent,82440
10,21|7|6|2|2|2,6,95,27670,silent,27575
10,21|7|5|5|1|1,6,73,25975,silent,25902
10,21|7|5|4|2|1,6,251,100329,silent,100078
10,21|7|5|3|3|1,6,112,72721,silent,72609
10,21|7|5|3|2|2,6,137,74877,silent,74740
10,21|7|4|4|3|1,6,115,55259,silent,55144
10,21|7|4|4|2|2,6,113,48799,silent,48686
10,21|7|4|3|3|2,6,44,53836,silent,53792
10,21|7|3|3|3|3,6,0,-1,a0,
10,21|6|6|5|1|1,6,34,15891,silent,15857
10,21|6|6|4|2|1,6,128,51518,silent,51390
10,21|6|6|3|3|1,6,44,34730,silent,34686
10,21|6|6|3|2|2,6,78,36427,silent,36349
10,21|6|5|5|2|1,6,67,37170,silent,37103
10,21|6|5|4|3|1,6,115,69772,silent,69657
10,21|6|5|4|2|2,6,102,58721,silent,58619
10,21|6|5|3|3|2,6,40,53827,silent,53787
10,21|6|4|4|4|1,6,52,18988,silent,18936
10,21|6|4|4|3|2,6,64,46638,silent,46574
10,21|6|4|3|3|3,6,1,18805,silent,18804
10,21|5|5|5|3|1,6,20,16013,silent,15993
10,21|5|5|5|2|2,6,6,11943,silent,11937
10,21|5|5|4|4|1,6,22,14060,silent,14038
10,21|5|5|4|3|2,6,31,32703,silent,32672
10,21|5|5|3|3|3,6,5,11277,silent,11272
10,21|5|4|4|4|2,6,27,12710,silent,12683
10,21|5|4|4|3|3,6,7,12431,silent,12424
10,21|4|4|4|4|3,6,7,2452,silent,2445
10,20|16|1|1|1|1,6,0,-1,a0,
10,20|15|2|1|1|1,6,0,-1,a0,
10,20|14|3|1|1|1,6,4,1011,silent,1007
